clinic_name,address,postal_code,X,Y,LAT,LONG
ACUMED MEDICAL GROUP,301 BOON LAY WAY BOON LAY MRT STATION #01-18/19 Singapore 649846,649846,13837.982719541,35641.9191215821,1.33860405469846,103.706064622772
ACUMED MEDICAL GROUP,214 Bedok North Street 1 #01-165 Singapore 460214,460214,39037.1194142475,34234.3309650719,1.32587565122356,103.932493035074
ACUMED MEDICAL GROUP,1 JOO KOON CIRCLE FAIRPRICE HUB #01-23 Singapore 629117,629117,10760.2804397647,34206.1198421884,1.32561764129671,103.678410551835
ACUMED MEDICAL GROUP,128 TUAS SOUTH AVENUE 3 JTC BIOMED ONE @ TUAS BIOMEDICAL PARK #01-03 Singapore 637370,637370,4985.53397365152,30167.9880453814,1.28909462639001,103.626524577555
ACUMED MEDICAL GROUP,215C COMPASSVALE DRIVE #01-02 Singapore 543215,543215,34618.0791775053,41299.3335043583,1.38977026274296,103.892787161183
ACUMED MEDICAL GROUP,14 TUAS AVENUE 1 JTC Space @ Tuas #01-05 Singapore 639499,639499,8817.36987804009,33748.9110516645,1.32148166449158,103.660952805443
ADIDAH FAMILY CLINIC & SURGERY,821 TAMPINES ST 81 #01-210 Singapore 520821,520821,39276.9654900025,36727.1574890204,1.34841976685512,103.934649103154
ADMIRALTY FAMILY CLINIC PTE LTD,678A WOODLANDS AVE 6 #01-14 Singapore 731678,731678,24487.9870272584,46913.7389286198,1.44054545356314,103.801759723219
ADVANCE CLINIC & SURGERY PTE LTD,301 UBI AVE 1 #01-269 Singapore 400301,400301,35638.3084538045,34766.3438084107,1.33068802490988,103.901953040703
ADVANCED MEDICINE IMAGING,1 BIOPOLIS DRIVE AMNIOS #01-02 / 03 Singapore 138622,138622,23510.3301846142,31506.2844937332,1.30120583526389,103.792976859174
ADVENT MEDICAL CLINIC,8 UPPER BOON KENG ROAD MULTI STOREY CAR PARK #01-02 Singapore 380008,380008,32159.9772346618,32778.1018257812,1.31270774684992,103.870698032286
AE MEDICAL CLINIC,467B FERNVALE LINK #01-529 Singapore 792467,792467,32965.0290840788,42217.1568994709,1.39807105476617,103.877933381661
AEON MEDICAL AND AESTHETIC CENTRE,"9 SCOTTS ROAD SCOTTS MEDICAL CENTER, PACIFIC PLAZA #06-01/02/03 Singapore 228210",228210,27867.5189468129,32096.8522952404,1.30654704697703,103.832128174215
AERAS MEDICAL AESTHETIC CLINIC,218 ORCHARD ROAD ORCHARD GATEWAY @ EMERALD #05-01 Singapore 238851,238851,28617.6990279268,31549.9632827286,1.30160116957546,103.838868886519
AESTHETIC & MEDICAL CLINIC,435 ORCHARD ROAD WISMA ATRIA #17-04/05 Singapore 238877,238877,27987.4434526867,31782.5683790073,1.30370477426152,103.833205752808
AESTHETIC & MEDICAL CLINIC (DR JOSEPH YANG@ORCHARD),435 ORCHARD ROAD WISMA ATRIA #17-04/05 Singapore 238877,238877,27987.4434526867,31782.5683790073,1.30370477426152,103.833205752808
AESTHETIC WORKS MEDICAL ASSOCIATES,80 Marine Parade Road Parkway Parade #05-06/07 Singapore 449269,449269,36008.6027896191,31491.3156742621,1.30106975506311,103.905279491524
AESTHETICS CENTRAL CLINIC,8 EU TONG SEN STREET THE CENTRAL #11-89 Singapore 059818,059818,29473.4380060931,30138.7430892456,1.2888385619346,103.846558025016
AESTHETICS PLUS MEDICAL CLINIC,57 CIRCULAR ROAD #02-01 Singapore 049412,049412,29774.6654946038,29828.4709218405,1.28603255389977,103.849264660253
AESTHETICS@HEALTHSPRINGS,524A JELAPANG ROAD GREENRIDGE SHOPPING CENTRE #02-01/02 Singapore 671524,671524,20533.7299018215,40816.7439803761,1.38540569283273,103.766228468185
AFPD MEDICAL CLINIC,10 TAMPINES INDUSTRIAL AVENUE 3 Singapore 528798,528798,38725.5370366322,38051.0213152338,1.36039250544303,103.929694654448
AGAPE CLINIC,222 Bishan St. 23 #B1-169 Singapore 570222,570222,29657.0745292021,37790.1590282004,1.35803524999922,103.848208486822
AGELESS AESTHETIC MEDICAL CENTRE,301 UPPER THOMSON ROAD THOMSON PLAZA #02-18 Singapore 574408,574408,27733.0413219561,37417.9340793118,1.35466902496426,103.830919782333
AGELESS MEDICAL,501 ORCHARD ROAD WHEELOCK PLACE #04-10 Singapore 238880,238880,27702.1243623986,31889.9934485927,1.30467628730254,103.830642027577
AIA ALEXANDRA CLINIC,371 ALEXANDRA ROAD AIA ALEXANDRA #01-03 Singapore 159963,159963,24578.5171439626,29685.2853191402,1.28473749728198,103.802575200723
AICARE FAMILY CLINIC,83 LORONG 2 TOA PAYOH TOA PAYOH PEAKVIEW #01-457 Singapore 310083,310083,29632.9919290304,35330.1618858241,1.33578791220735,103.847991955843
ALAXIS MEDICAL & AESTHETIC SURGERY,360 Orchard Road International Building #04-02 Singapore 238869,238869,27742.3331994734,32044.6734997183,1.30607515954357,103.831003321455
ALAXIS MEDICAL & AESTHETIC SURGERY,360 ORCHARD ROAD INTERNATIONAL BUILDING #04-05 Singapore 238869,238869,27742.3331994734,32044.6734997183,1.30607515954357,103.831003321455
ALEXANDRA FAMILY CLINIC & SURGERY,57 DAWSON ROAD #02-02 Singapore 142057,142057,25511.5673628375,30566.1039248612,1.29270339855063,103.810958956467
ALL DERMA MEDICAL CLINIC,360 ORCHARD ROAD INTERNATIONAL BUILDING #03-14 Singapore 238869,238869,27742.3331994734,32044.6734997183,1.30607515954357,103.831003321455
ALLHEALTH FAMILY CLINIC,872C TAMPINES STREET 86 #01-01 Singapore 523872,523872,38940.2328393559,37481.6123174764,1.35524290262937,103.931623628987
AMARIS B CLINIC,140 ARAB STREET Singapore 199827,199827,30759.8969607087,31658.6771933306,1.30258422337193,103.85811752019
AMDA INTERNATIONAL PEACE CLINIC,501 ORCHARD ROAD WHEELOCK PLACE #05-01 Singapore 238880,238880,27702.1243623986,31889.9934485927,1.30467628730254,103.830642027577
AMITY MEDICAL CLINIC & DENTAL SURGERY,371 BT BATOK ST 31 #01-314 Singapore 650371,650371,18804.9118111028,37925.6724839974,1.3592594086607,103.75069463109
AMK FAMILY CLINIC PTE LTD,51 ANG MO KIO AVE 3 NO 51 @ AMK #01-01 Singapore 569922,569922,29540.3472607162,39035.4745612088,1.36929744545911,103.847159679585
AMPM FAMILY CLINIC & SURGERY PTE. LTD.,123 TOA PAYOH LOR 1 #01-521 Singapore 310123,310123,29378.3477452325,35646.5269075483,1.33864901784916,103.845703844955
ANDERSON MEDICAL CENTRE,283 BISHAN ST 22 #01-173 Singapore 570283,570283,29272.0322091243,37887.8853883017,1.35891907129934,103.844748631736
ANG MO KIO FAMILY MEDICINE CLINIC,4190 ANG MO KIO AVENUE 6 BROADWAY PLAZA #03-01 Singapore 569841,569841,29405.6638741059,39327.3741835691,1.37193728803291,103.845949468704
ANG MO KIO MEDICAL CENTRE,157 ANG MO KIO AVE 4 #01-558 Singapore 560157,560157,28676.2385494256,39699.8244775981,1.37530562109725,103.839395071769
ANSAR CLINIC,138 Tampines Street 11 #01-126 Singapore 521138,521138,40494.3994882017,36404.8556444347,1.34550450627242,103.945588355383
ANSARI FAMILY CLINIC & SURGERY,78 LORONG  25A GEYLANG ROAD Singapore 388259,388259,33566.6726975272,33133.5787425805,1.31592233116035,103.883337947941
ANTEH DISPENSARY PTE LTD,1 LORONG 22 GEYLANG GRANDVIEW SUITES #01-02 Singapore 398664,398664,33468.4869905059,32785.6766005829,1.31277604580513,103.882455638462
APAX MEDICAL & AESTHETICS CLINIC,1 WOODLANDS ROAD Junction 10 #02-11 Singapore 677899,677899,19859.2468093086,40256.2722101714,1.38033681049386,103.760167883439
APAX MEDICAL & AESTHETICS CLINIC,212 HOUGANG STREET 21 #01-313 Singapore 530212,530212,34123.248100457,37954.4963216763,1.3595208734743,103.888340028762
APEX CLINIC & SURGERY,844 YISHUN ST 81 #01-162 Singapore 760844,760844,28236.8077196725,44158.1555840019,1.41562517345069,103.835446503581
APEX CLINIC & SURGERY,306 WOODLANDS ST 31 #01-39 Singapore 730306,730306,21469.5665004751,45739.9857473709,1.42992991993556,103.774636554651
APEX MEDICAL CENTRE (JURONG) PTE LTD,960 JURONG WEST ST 92 #01-172 Singapore 640960,640960,12212.6174492981,35949.546412034,1.34138531163606,103.691459639611
APOLLO MEDICAL CENTRE,668 CHANDER ROAD #01-24 Singapore 210668,210668,30020.9990889164,32211.215331519,1.30758124026889,103.851478219734
APPLE WELLNESS CENTER,7 ANG MO KIO STREET 64 #01-00 Singapore 569086,569086,29273.4449975335,41230.2204378415,1.38914595410841,103.84476147022
APPLE WELLNESS CENTER MEDICAL SERVICES,2 FUSIONOPOLIS WAY INNOVIS BUILDING LEVEL 2 Singapore 138634,138634,23034.1167022052,31198.9395430349,1.29842624401525,103.788697914632
AQUILA MEDICAL,160 ROBINSON ROAD SINGAPORE BUSINESS FEDERATION CENTER #05-01 Singapore 068914,068914,29617.745673219,28954.4152733292,1.27812790985949,103.847854628243
AR-RAUDHAH MEDICAL CLINIC AND SURGERY PTE LTD,372 BUKIT BATOK STREET 31 #01-386 Singapore 650372,650372,18862.6806794646,37860.4045410603,1.35866916706908,103.751213742148
ARCADIA CLINIC,2 PANDAN VALLEY #01-211 Singapore 597626,597626,21951.8123920354,33633.3190141767,1.3204417118743,103.778972458647
ARDMORE AESTHETIC CLINIC,360 ORCHARD ROAD INTERNATIONAL BUILDING #06-01A Singapore 238869,238869,27742.3331994734,32044.6734997183,1.30607515954357,103.831003321455
ARIS MEDICAL CLINIC,989 BUKIT TIMAH ROAD MAPLEWOODS Singapore 589629,589629,22529.0286832474,35084.0387145355,1.33356161120698,103.784158787663
ASIAMEDIC WELLNESS ASSESSMENT CENTRE,350 ORCHARD ROAD SHAW HOUSE #08-00 Singapore 238868,238868,27798.4237686748,32015.3296278119,1.30580978432631,103.831507321866
ASPEN CLINIC,283 BISHAN STREET 22 #01-185 Singapore 570283,570283,29272.0322091243,37887.8853883017,1.35891907129934,103.844748631736
ASRA MEDICAL CLINIC,277A SOUTH BRIDGE ROAD Singapore 058826,058826,29326.5552902544,29355.8870247006,1.28175869311375,103.845238190715
ASSOCIATE DISPENSARIES,94 TOA PAYOH LOR 4 #01-20 Singapore 310094,310094,29805.0834561806,35673.6655752323,1.33889442783828,103.849538318068
ASSURANCE MEDICARE CLINIC AND SURGERY,370 TANJONG KATONG ROAD Singapore 437127,437127,35056.9439051585,31692.3672450185,1.3028882243592,103.8967284559
ASTIQUE THE AESTHETIC CLINIC,350 ORCHARD ROAD SHAW HOUSE #08-00 Singapore 238868,238868,27798.4237686748,32015.3296278119,1.30580978432631,103.831507321866
ASTUTE MEDICAL AESTHETICS & LASER CLINIC,252 TEMBELING ROAD TEMBELING CENTRE #01-08 Singapore 423731,423731,36012.8998444642,32087.9907981846,1.3064658693131,103.905318255744
ATLAS MEDICAL LASER & AESTHETICS CLINIC BY DR. SM YUEN,391B ORCHARD ROAD NGEE ANN CITY TOWER B #24-08/09 Singapore 238874,238874,28151.0824940463,31640.966003729,1.30242417189413,103.834676124723
ATLAS PACIFIC MEDICAL,428 RIVER VALLEY ROAD LOFT @ NATHAN #01-10 Singapore 248327,248327,27365.8984280684,30760.4386062789,1.29446098581957,103.8276209036
ATRIO FAMILY CLINIC,291 YISHUN STREET 22 #01-349 Singapore 760291,760291,28378.9576125076,46384.6523636784,1.4357608040047,103.8367238745
ATRIO FAMILY CLINIC (AMK) PTE. LTD.,532 ANG MO KIO AVENUE 10 CHENG SAN CENTRE #01-2461 Singapore 560532,560532,30367.7107608465,39534.2918106411,1.3738085153956,103.854594160601
AYE METTA CLINIC PTE. LTD.,111 NORTH BRIDGE ROAD PENINSULA PLAZA #04-36A Singapore 179098,179098,29945.9047964062,30523.4453182575,1.29231764784278,103.850803356823
B S CHEW CLINIC,252 JURONG EAST ST 24 #01-109 Singapore 600252,600252,17408.2435864181,36130.7629190404,1.3430264426306,103.7381452862
B T GOH FAMILY CLINIC & SURGERY,194 KIM KEAT AVE #01-406 Singapore 310194,310194,30767.0316390268,34794.0403150357,1.3309393367553,103.858181909317
BA CLINIC,10 TAMPINES CENTRAL 1 TAMPINES ONE #04-35 Singapore 529536,529536,40436.8625936658,37372.5921251476,1.35425637797861,103.945071751563
BALKIS FAMILY CLINIC,631 BEDOK RESERVOIR RD #01-968 Singapore 470631,470631,37083.8196092561,35017.5269088075,1.33295923556351,103.914941831232
BALMORAL LASER & MEDICAL AESTHETICS,271 Bukit Timah Road Balmoral Plaza #02-12A Singapore 259708,259708,28241.389263296,33190.7233337797,1.31643963008362,103.835487584433
BAN KOK CLINIC & SURGERY,146 POTONG PASIR AVE 1 #01-141 Singapore 350146,350146,31775.41938393,34889.3066144921,1.33180078265392,103.867242849282
BANYAN CLINIC @ JW,502 JURONG WEST AVENUE 1 #01-817 Singapore 640502,640502,15203.5743513244,36957.3883343879,1.35050127679183,103.718334683095
BANYAN CLINIC PTE LTD.,768 Woodlands Avenue 6 Woodlands Mart #02-04 Singapore 730768,730768,24085.2870011073,47475.1842685212,1.44562290720223,103.798140993891
BEDOK  CENTRAL CLINIC,214 BEDOK NORTH STREET 1 #01-161 Singapore 460214,460214,39037.1194142475,34234.3309650719,1.32587565122356,103.932493035074
BEDOK CLINIC & SURGERY(FAMILY MEDICAL CENTRE),17 BEDOK SOUTH RD #01-565 Singapore 460017,460017,39378.8562403735,33601.1013485566,1.32014883000632,103.935563486677
BEDOK DAY & NIGHT CLINIC,418 BEDOK NORTH AVENUE 2 #01-85 Singapore 460418,460418,38763.7225800654,34531.6078158114,1.32856421177176,103.930036524233
BEDOK DIVISION CLINIC,30 BEDOK NORTH ROAD Singapore 469676,469676,39554.2559370728,34984.1334228236,1.33265639626913,103.937140063116
BEDOK LIFE CLINIC,123 BEDOK NORTH ST 2 #01-160 Singapore 460123,460123,39576.8955716577,34601.7979382612,1.32919868667842,103.937343347878
BEDOK MEDICAL CENTRE,18 BEDOK SOUTH RD #01-57 Singapore 460018,460018,39286.5650113056,33653.7554724943,1.32062504871282,103.934734222428
BEO CRESCENT CLINIC & SURGERY,40 Beo Crescent #01-02 Singapore 160040,160040,27353.8903622286,30162.9923449364,1.28905789154482,103.827513018252
BETHESDA MEDICAL CENTRE,3 TEMASEK BOULEVARD SUNTEC CITY MALL #03-330 Singapore 038983,038983,30859.7197721657,30923.0979032721,1.29593189477196,103.859014406736
BEWELL CLINIC,5012 ANG MO KIO AVENUE 5 TECHPLACE II #01-01 Singapore 569876,569876,31576.6707527163,39891.4336178843,1.3770382555731,103.865457576711
BIO AESTHETIC LASER CLINIC,390 ORCHARD ROAD PALAIS RENAISSANCE #03-01 Singapore 238871,238871,27584.8261186681,32108.7723720521,1.30665484543194,103.829588045188
BISHAN GRACE CLINIC,150 BISHAN STREET 11 #01-151 Singapore 570150,570150,30436.8561535694,36296.7609562445,1.3445294364673,103.855215218054
BK MEDICAL GROUP AESTHETIC CLINIC,10 SINARAN DRIVE NOVENA MEDICAL CENTER SQUARE 2 #08-05/06 Singapore 307506,307506,29206.6250939963,33662.3578150738,1.32070490289998,103.844160737673
BL MEDICAL ASSOCIATES,2 SCIENCE PARK DRIVE ASCENT #01-10 Singapore 118222,118222,22606.4221923376,30351.4183829837,1.29076149216196,103.784855036172
BLESS MEDICAL CENTRE PTE LTD,221 BOON LAY PLACE BOON LAY SHOPPING CENTRE #01-108 Singapore 640221,640221,14546.3490037468,36498.1928442158,1.34634819695609,103.712429315389
BOK FAMILY CLINIC  PTE LTD,117 BEDOK RESERVOIR ROAD #01-58 Singapore 470117,470117,36387.9422280827,34846.5572947413,1.33141324882714,103.908688936549
BOON KENG CLINIC & SURGERY,11 UPPER BOON KENG RD #01-919 Singapore 380011,380011,32184.0133432119,32947.4612739179,1.31423937033553,103.870914031459
BOON LAY CENTRAL CLINIC,221 BOON LAY PLACE BOON LAY SHOPPING CENTRE #01-242 Singapore 640221,640221,14546.3490037468,36498.1928442158,1.34634819695609,103.712429315389
BOON LAY CLINIC & SURGERY,221 BOON LAY PLACE #01-240/244 Singapore 640221,640221,14546.3490037468,36498.1928442158,1.34634819695609,103.712429315389
BOON LAY CORPORATION CLINIC,350 JURONG EAST AVENUE 1  #01-1225 Singapore 600350,600350,16641.4955979822,36243.9094850533,1.34404941857385,103.73125555964
BORIS VALERIE,111 SOMERSET ROAD TRIPLEONE SOMERSET #03-15 to 18 Singapore 238164,238164,28445.0049257575,31395.7171231508,1.30020622455912,103.837317149115
BOSTON MEDICAL,119 ALJUNIED AVENUE 2 #01-72 Singapore 380119,380119,33869.388614137,33598.7229509316,1.32012887290028,103.886058091225
BOSTON MEDICAL,3A INTERNATIONAL BUSINESS PARK ICON@IBP #01-08 Singapore 609935,609935,18644.3940344928,34371.2146827597,1.32711413935055,103.749253372426
BOYS' HOME MEDICAL CLINIC II,32 JURONG WEST STREET 24 Singapore 649697,649697,14012.7766630825,36879.6826715805,1.34979800298727,103.707634672999
BRADDELL FAMILY CLINIC,124 LORONG 1 TOA PAYOH #01-489 Singapore 310124,310124,29258.5400435075,35646.4986069836,1.33864876713619,103.844627302235
BUKIT BATOK MEDICAL CLINIC,207 BUKIT BATOK ST 21 #01-114 Singapore 650207,650207,18658.8022606389,36487.0140000582,1.34624866176032,103.749382188265
BUKIT BATOK POLYCLINIC,50 BUKIT BATOK WEST AVENUE 3 Singapore 659164,659164,18485.2222751196,37124.6524208151,1.3520151759048,103.747822265461
BUKIT BATOK WEST CLINIC,323 BUKIT BATOK ST 33 #01-106 Singapore 650323,650323,18515.21127883,38121.7113739699,1.36103222148885,103.748091419935
BUKIT MERAH CENTRAL MEDICAL CENTRE PTE LTD,165 BT MERAH CENTRAL #03-3683 Singapore 150165,150165,26149.687407751,29499.3276351634,1.28305589307335,103.816692798132
BUKIT PANJANG FAMILY CLINIC,524A JELAPANG ROAD GREENRIDGE SHOPPING CENTRE #02-13 Singapore 671524,671524,20533.7299018215,40816.7439803761,1.38540569283273,103.766228468185
BUKIT TIMAH CLINIC,621A BUKIT TIMAH ROAD Singapore 269731,269731,25300.1043623816,34090.3435937501,1.32457535903392,103.809058565414
BUKIT TIMAH FAMILY CLINIC & SURGERY,897 BUKIT TIMAH ROAD Singapore 589617,589617,23229.5670009678,35025.1672137938,1.33302931681369,103.790453531136
BUKIT TIMAH NAM SANG  CLINIC,80 JLN JURONG KECHIL Singapore 598591,598591,21313.6084442722,35857.3930536322,1.34055530575436,103.773237378591
C & K FAMILY CLINIC PTE LTD,108 UPPER EAST COAST ROAD Singapore 455297,455297,38682.3991062374,32829.3165860232,1.31316934203829,103.929305198346
C H TAN MEDICAL CLINIC & DENTAL SURGERY,177 BT BATOK WEST AVE 8 #01-259 Singapore 650177,650177,17808.5426955638,36497.5948699303,1.34634407451483,103.741742087315
C K TAN FAMILY CLINIC & SURGERY PTE LTD,125 TOA PAYOH LOR 1 #01-537 Singapore 310125,310125,29382.0507606283,35611.3990660962,1.33833133395209,103.845737117132
C Y KOK CLINIC & SURGERY,157 ANG MO KIO AVE 4 #01-562 Singapore 560157,560157,28676.2385494256,39699.8244775981,1.37530562109725,103.839395071769
C.M.C. WONG BINJAI CLINIC,15 BINJAI PARK Singapore 589824,589824,22828.989880392,35378.4088097271,1.33622384180736,103.786854059157
C3 FAMILY CLINIC @ALJUNIED CRESCENT,95 ALJUNIED CRESCENT MACPHERSON VIEW #01-509 Singapore 380095,380095,33884.6982208368,33772.8143443018,1.32170329030891,103.886195689242
CALROSE MEDICAL FAMILY CLINIC,231A SUMANG LANE MATILDA COURT #01-05 Singapore 821231,821231,34516.9896509314,42658.1776458696,1.4020591775405,103.891879097522
CALVIN CHAN AESTHETIC & LASER CLINIC,501 Orchard Road Wheelock Place #05-11 Singapore 238880,238880,27702.1243623986,31889.9934485927,1.30467628730254,103.830642027577
CAMBRIDGE CLINIC,250 TAMPINES ST 21 #01-510 Singapore 520250,520250,40813.7229631883,37158.3422606271,1.35231862292152,103.948457987374
CAMRY MEDICAL CENTRE,95 Toa Payoh Lorong 4 #01-66 Singapore 310095,310095,29744.4306543274,35673.2553532496,1.33889072150038,103.848993316875
CANA MEDICAL CLINIC & SURGERY,287A COMPASSVALE CRESCENT COMPASSVALE CAPE #01-151 Singapore 541287,541287,34971.0526899065,42243.014474744,1.39830448706533,103.895959126637
